EXIT VALUE SENSITIVITY ANALYSIS
North Berkeley BART TOD

Total Building SF	254,300
Year 11 NOI (Forward)	$3,977,125


EXIT VALUE ($M)
Cap Rate \ $/SF	$200	$225	$250	$275	$300	$325	$350	$375	$400
4.0%	$75.1M	$78.3M	$81.5M	$84.7M	$87.9M	$91.0M	$94.2M	$97.4M	$100.6M
4.5%	$69.6M	$72.8M	$76.0M	$79.2M	$82.3M	$85.5M	$88.7M	$91.9M	$95.1M
5.0%	$65.2M	$68.4M	$71.6M	$74.7M	$77.9M	$81.1M	$84.3M	$87.5M	$90.6M
5.5%	$61.6M	$64.8M	$67.9M	$71.1M	$74.3M	$77.5M	$80.7M	$83.8M	$87.0M
6.0%	$58.6M	$61.8M	$64.9M	$68.1M	$71.3M	$74.5M	$77.6M	$80.8M	$84.0M
6.5%	$56.0M	$59.2M	$62.4M	$65.6M	$68.7M	$71.9M	$75.1M	$78.3M	$81.5M
7.0%	$53.8M	$57.0M	$60.2M	$63.4M	$66.6M	$69.7M	$72.9M	$76.1M	$79.3M
7.5%	$51.9M	$55.1M	$58.3M	$61.5M	$64.7M	$67.8M	$71.0M	$74.2M	$77.4M


IRR SENSITIVITY
Cap Rate \ $/SF	$200	$225	$250	$275	$300	$325	$350	$375	$400
4.0%	3.60%	4.07%	4.52%	4.96%	5.39%	5.81%	6.21%	6.60%	6.98%
4.5%	2.73%	3.24%	3.72%	4.19%	4.64%	5.08%	5.50%	5.91%	6.31%
5.0%	2.00%	2.53%	3.04%	3.53%	4.01%	4.47%	4.91%	5.34%	5.75%
5.5%	1.37%	1.93%	2.46%	2.97%	3.47%	3.94%	4.40%	4.85%	5.28%
6.0%	0.83%	1.40%	1.96%	2.49%	3.00%	3.49%	3.97%	4.43%	4.87%
6.5%	0.34%	0.94%	1.52%	2.06%	2.59%	3.10%	3.59%	4.06%	4.52%
7.0%	-0.09%	0.53%	1.12%	1.69%	2.23%	2.75%	3.25%	3.74%	4.20%
7.5%	-0.47%	0.17%	0.77%	1.36%	1.91%	2.44%	2.96%	3.45%	3.93%


REFERENCE: Cap Rate Only Exit Values
Cap Rate	Exit Value	Implied $/SF
4.0%	$99,428,125	$391
4.5%	$88,380,556	$348
5.0%	$79,542,500	$313
5.5%	$72,311,364	$284
6.0%	$66,285,417	$261
6.5%	$61,186,538	$241
7.0%	$56,816,071	$223
7.5%	$53,028,333	$209

REFERENCE: $/SF Only Exit Values
$/SF	Exit Value	Implied Cap Rate
$200	$50,860,000	7.82%
$225	$57,217,500	6.95%
$250	$63,575,000	6.26%
$275	$69,932,500	5.69%
$300	$76,290,000	5.21%
$325	$82,647,500	4.81%
$350	$89,005,000	4.47%
$375	$95,362,500	4.17%
$400	$101,720,000	3.91%
